"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE"
"A004307",755,2014,11,0,"DIRECT"
"A004307",755,2015,2,0,"DIRECT"
"A004307",755,2018,11,0,"DIRECT"
"A004307",755,2018,11,0,"STORAGE"
"A004307",755,2018,12,0,"USE"
"A004307",755,2015,1,0,"STORAGE"
"A004307",755,2018,12,0,"STORAGE"
"A004307",755,2018,10,0,"DIRECT"
"A004307",755,2015,1,0,"USE"
"A004307",755,2019,1,0,"STORAGE"
"A004307",755,2019,1,0,"USE"
"A004307",755,2018,12,0,"DIRECT"
"A004307",755,2018,6,0,"STORAGE"
"A004307",755,2020,3,0,"USE"
"A004307",755,2014,8,0,"DIRECT"
"A004307",755,2020,3,0,"STORAGE"
"A004307",755,2019,2,0,"DIRECT"
"A004307",755,2018,8,0,"STORAGE"
"A004307",755,2020,5,0,"STORAGE"
"A004307",755,2015,12,0,"USE"
"A004307",755,2017,5,0,"STORAGE"
"A004307",755,2020,2,0,"DIRECT"
"A004307",755,2020,11,0,"USE"
"A004307",755,2014,12,0,"USE"
"A004307",755,2014,11,0,"USE"
"A004307",755,2018,5,0,"USE"
"A004307",755,2019,3,0,"USE"
"A004307",755,2019,2,0,"STORAGE"
"A004307",755,2019,3,0,"STORAGE"
"A004307",755,2018,9,0,"DIRECT"
"A004307",755,2014,9,0,"USE"
"A004307",755,2014,9,0,"DIRECT"
"A004307",755,2014,3,0,"DIRECT"
"A004307",755,2014,4,0,"STORAGE"
"A004307",755,2020,4,0,"USE"
"A004307",755,2019,2,0,"USE"
"A004307",755,2015,10,0,"STORAGE"
"A004307",755,2015,12,0,"STORAGE"
"A004307",755,2018,4,0,"DIRECT"
"A004307",755,2018,3,0,"STORAGE"
"A004307",755,2014,10,0,"DIRECT"
"A004307",755,2015,4,0,"DIRECT"
"A004307",755,2014,3,0,"USE"
"A004307",755,2016,1,0,"STORAGE"
"A004307",755,2015,5,0,"USE"
"A004307",755,2015,11,0,"USE"
"A004307",755,2020,1,0,"STORAGE"
"A004307",755,2019,1,0,"DIRECT"
"A004307",755,2016,1,0,"USE"
"A004307",755,2014,12,0,"DIRECT"
"A004307",755,2015,4,0,"USE"
"A004307",755,2014,8,0,"USE"
"A004307",755,2015,11,0,"DIRECT"
"A004307",755,2015,11,0,"STORAGE"
"A004307",755,2014,2,0,"USE"
"A004307",755,2015,8,0,"DIRECT"
"A004307",755,2018,4,0,"STORAGE"
"A004307",755,2020,3,0,"DIRECT"
"A004307",755,2018,7,0,"DIRECT"
"A004307",755,2015,1,0,"DIRECT"
"A004307",755,2020,4,0,"STORAGE"
"A004307",755,2020,6,0,"STORAGE"
"A004307",755,2015,10,0,"USE"
"A004307",755,2015,7,0,"STORAGE"
"A004307",755,2020,11,0,"DIRECT"
"A004307",755,2019,11,0,"USE"
"A004307",755,2018,11,0,"USE"
"A004307",755,2018,9,0,"USE"
"A004307",755,2015,6,0,"DIRECT"
"A004307",755,2014,11,0,"STORAGE"
"A004307",755,2014,3,0,"STORAGE"
"A004307",755,2015,10,0,"DIRECT"
"A004307",755,2015,9,0,"DIRECT"
"A004307",755,2016,3,0,"DIRECT"
"A004307",755,2015,6,0,"STORAGE"
"A004307",755,2015,5,0,"DIRECT"
"A004307",755,2019,11,0,"DIRECT"
"A004307",755,2015,5,0,"STORAGE"
"A004307",755,2018,9,0,"STORAGE"
"A004307",755,2015,3,0,"DIRECT"
"A004307",755,2014,9,0,"STORAGE"
"A004307",755,2018,1,0,"DIRECT"
"A004307",755,2016,2,0,"USE"
"A004307",755,2018,1,0,"STORAGE"
"A004307",755,2014,2,0,"DIRECT"
"A004307",755,2015,9,0,"STORAGE"
"A004307",755,2017,10,0,"DIRECT"
"A004307",755,2017,1,0,"USE"
"A004307",755,2018,10,0,"STORAGE"
"A004307",755,2018,10,0,"USE"
"A004307",755,2020,7,0,"DIRECT"
"A004307",755,2020,8,0,"STORAGE"
"A004307",755,2014,12,0,"STORAGE"
"A004307",755,2020,6,0,"DIRECT"
"A004307",755,2020,12,0,"DIRECT"
