"Date","CIMIS_PRECIP6","CIMIS_PRECIP12","CIMIS_TMAX3","CIMIS_TMIN3","CIMIS_TMAX4","CIMIS_TMIN4"
"20230111",32.33,18.06,12.8,7.8,14.4,9.4
"20230112",33.68,0.508,12.1,8.7,17.8,11.1
"20230113",13.58,8.02,16.8,10.1,15,11.1
"20230114",42.91,48.09,13.3,6.7,14.4,7.2
"20230115",27.04,23.03,10.6,5,11.7,7.2
"20230116",6.48,0.761,11.7,1.7,13.3,3.3
"20230117",0.71,0,14.4,-1.7,15,-0.6
"20230118",0,7.36,8.9,-0.6,11.7,0
"20230119",12.32,0.254,12.2,-0.6,13.3,1.1
"20230120",0,0,16.7,-2.2,15,0
"20230121",0,0,16.1,-3.9,15,-2.2
"20230122",0,0,15.6,-0.6,16.7,-0.6
"20230123",0,0,19.4,-2.8,20.6,2.8
"20230124",0,0,18.3,-0.8,17.8,-1.1
"20230125",0,0,21.4,-0.2,23.3,0
"20230126",0,0,21.9,0.4,20,1.7
"20230127",0,0,21.8,0.3,16.1,0
"20230128",0,0,17.8,-2.2,15,-1.1
"20230129",0,0.254,13.9,-2.8,12.2,-2.2
"20230130",0,0,11.4,-3.5,15.6,-2.8
"20230131",0,0,14.5,-4.8,16.7,-5
"20230201",0,0.508,15.6,-4.4,14.4,-3.3
"20230202",0,0,16.1,-3.9,13.9,-3.3
"20230203",12.25,17.74,14.4,2.8,13.3,5.6
"20230204",1.01,14.46,12.8,2.2,13.3,5
"20230205",19.18,4.822,11.1,2.2,13.3,2.2
"20230206",9.54,0,16.1,-1.1,17.2,-0.6
"20230207",0,0,16.7,0.6,16.7,-0.6
"20230208",0,0,22.2,-0.6,18.3,-0.6
"20230209",0,0.254,22.8,-1.7,19.4,-1.1
"20230210",0,0,15,-2.8,15,-1.7
"20230211",2.4,0.508,15,1.1,15,1.7
"20230212",0,0,23.3,-1.7,20,-1.1
"20230213",0,0,17.8,-0.6,17.8,-1.1
"20230214",0,0,11.1,-1.7,12.2,1.1
"20230215",0.46,0,9.7,-3,16.7,-2.2
"20230216",0,0,15,-4.2,15.8,-2.5
"20230217",0,0,18.9,-0.6,17.2,-2.2
"20230218",0,0,17.1,-1.6,17.8,-3.9
"20230219",0,0,17.9,-2.6,20,-2.2
"20230220",0,0,22.4,-0.8,21.1,0
"20230221",0,0,12.8,3.3,15.6,2.2
"20230222",1.51,0,8.9,-2.2,10,-1.1
"20230223",3.27,12.43,7.8,-1.7,10,-3.9
"20230224",23.88,28.41,6.2,-0.5,8.9,0.6
"20230225",11.59,2.031,10,0,11.1,0.6
"20230226",1.3,5.33,10.6,0.6,12.2,0.6
"20230227",11.53,15.73,8.9,0,10.6,-0.6
"20230228",21.44,20.71,8.3,1.1,11.7,1.1
"20230301",12.34,0,7.7,-1.4,13.3,-2.2
"20230302",0,0,11.1,-2.2,15,-1.1
"20230303",0,0,16.1,0,15.6,-1.1
"20230304",0,10.15,11.1,2.8,11.7,2.2
"20230305",24.59,11.42,11.1,0.6,11.7,0
"20230306",11.58,6.345,9.4,0.6,12.2,1.1
"20230307",6.73,4.569,10.6,1.1,12.2,1.1
"20230308",12.25,2.284,14.4,1.1,12.8,1.1
"20230309",1.24,1.13,10.6,0,12.3,1.5
"20230310",52.93,8.376,15.6,5,15,6.1
"20230311",0.54,3.3,11.7,5,12.2,4.4
"20230312",12.25,20.04,13.9,10,13.9,11.1
"20230313",16.87,8.883,13.3,9.9,15.6,11.7
"20230314",26.24,24.46,16.1,7.2,15,5.6
"20230315",26.79,0,17.8,1.1,17.8,1.1
"20230316",0,0,21.1,0.6,16.7,1.7
"20230317",0,0,22.2,1.1,20,0.6
"20230318",0,0,19.3,1.7,19,1.9
"20230319",9.78,17,12.8,9.4,13.3,8.9
"20230320",6.8,0,15.6,2.8,13.9,3.9
"20230321",1.63,3.21,11.7,6.1,11.7,6.1
"20230322",17.61,4.061,15.6,7.8,15.6,7.8
"2023-03-23",0.762,0,46.3,54.5,40.6,44.3
"2023-03-24",0.508,0,43.8,52,34.8,38.9
"2023-03-25",0,0,46.5,54,35.1,39.6
"2023-03-26",0,0,48.4,53.9,34.1,37.3
"2023-03-27",5.588,3.81,44.2,51,37.3,39.3
"2023-03-28",44.704,46.228,42.4,50,40.4,45
