"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE","ASSIGNED_PRIORITY_DATE"
"A004307",755,2014,11,0,"DIRECT",19241107
"A004307",755,2015,2,0,"DIRECT",19241107
"A004307",755,2018,11,0,"DIRECT",19241107
"A004307",755,2018,11,0,"STORAGE",19241107
"A004307",755,2015,1,0,"STORAGE",19241107
"A004307",755,2018,12,0,"STORAGE",19241107
"A004307",755,2018,10,0,"DIRECT",19241107
"A004307",755,2019,1,0,"STORAGE",19241107
"A004307",755,2018,12,0,"DIRECT",19241107
"A004307",755,2018,6,0,"STORAGE",19241107
"A004307",755,2014,8,0,"DIRECT",19241107
"A004307",755,2020,3,0,"STORAGE",19241107
"A004307",755,2019,2,0,"DIRECT",19241107
"A004307",755,2018,8,0,"STORAGE",19241107
"A004307",755,2020,5,0,"STORAGE",19241107
"A004307",755,2017,5,0,"STORAGE",19241107
"A004307",755,2020,2,0,"DIRECT",19241107
"A004307",755,2019,2,0,"STORAGE",19241107
"A004307",755,2019,3,0,"STORAGE",19241107
"A004307",755,2018,9,0,"DIRECT",19241107
"A004307",755,2014,9,0,"DIRECT",19241107
"A004307",755,2014,3,0,"DIRECT",19241107
"A004307",755,2014,4,0,"STORAGE",19241107
"A004307",755,2015,10,0,"STORAGE",19241107
"A004307",755,2015,12,0,"STORAGE",19241107
"A004307",755,2018,4,0,"DIRECT",19241107
"A004307",755,2018,3,0,"STORAGE",19241107
"A004307",755,2014,10,0,"DIRECT",19241107
"A004307",755,2015,4,0,"DIRECT",19241107
"A004307",755,2016,1,0,"STORAGE",19241107
"A004307",755,2020,1,0,"STORAGE",19241107
"A004307",755,2019,1,0,"DIRECT",19241107
"A004307",755,2014,12,0,"DIRECT",19241107
"A004307",755,2015,11,0,"DIRECT",19241107
"A004307",755,2015,11,0,"STORAGE",19241107
"A004307",755,2015,8,0,"DIRECT",19241107
"A004307",755,2018,4,0,"STORAGE",19241107
"A004307",755,2020,3,0,"DIRECT",19241107
"A004307",755,2018,7,0,"DIRECT",19241107
"A004307",755,2015,1,0,"DIRECT",19241107
"A004307",755,2020,4,0,"STORAGE",19241107
"A004307",755,2020,6,0,"STORAGE",19241107
"A004307",755,2015,7,0,"STORAGE",19241107
"A004307",755,2020,11,0,"DIRECT",19241107
"A004307",755,2015,6,0,"DIRECT",19241107
"A004307",755,2014,11,0,"STORAGE",19241107
"A004307",755,2014,3,0,"STORAGE",19241107
"A004307",755,2015,10,0,"DIRECT",19241107
"A004307",755,2015,9,0,"DIRECT",19241107
"A004307",755,2016,3,0,"DIRECT",19241107
"A004307",755,2015,6,0,"STORAGE",19241107
"A004307",755,2015,5,0,"DIRECT",19241107
"A004307",755,2019,11,0,"DIRECT",19241107
"A004307",755,2015,5,0,"STORAGE",19241107
"A004307",755,2018,9,0,"STORAGE",19241107
"A004307",755,2015,3,0,"DIRECT",19241107
"A004307",755,2014,9,0,"STORAGE",19241107
"A004307",755,2018,1,0,"DIRECT",19241107
"A004307",755,2018,1,0,"STORAGE",19241107
"A004307",755,2014,2,0,"DIRECT",19241107
"A004307",755,2015,9,0,"STORAGE",19241107
"A004307",755,2017,10,0,"DIRECT",19241107
"A004307",755,2018,10,0,"STORAGE",19241107
"A004307",755,2020,7,0,"DIRECT",19241107
"A004307",755,2020,8,0,"STORAGE",19241107
"A004307",755,2014,12,0,"STORAGE",19241107
"A004307",755,2020,6,0,"DIRECT",19241107
"A004307",755,2020,12,0,"DIRECT",19241107
"A004307",755,2017,9,0,"STORAGE",19241107
"A004307",755,2018,3,0,"DIRECT",19241107
"A004307",755,2014,8,0,"STORAGE",19241107
"A004307",755,2020,11,0,"STORAGE",19241107
"A004307",755,2020,12,0,"STORAGE",19241107
"A004307",755,2016,12,0,"STORAGE",19241107
"A004307",755,2014,2,0,"STORAGE",19241107
"A004307",755,2014,1,0,"STORAGE",19241107
"A004307",755,2014,10,0,"STORAGE",19241107
"A004307",755,2017,12,0,"STORAGE",19241107
"A004307",755,2014,1,0,"DIRECT",19241107
"A004307",755,2017,1,0,"STORAGE",19241107
"A004307",755,2014,7,0,"STORAGE",19241107
"A004307",755,2020,1,0,"DIRECT",19241107
"A004307",755,2014,5,0,"STORAGE",19241107
"A004307",755,2015,4,0,"STORAGE",19241107
"A004307",755,2020,5,0,"DIRECT",19241107
"A004307",755,2017,12,0,"DIRECT",19241107
"A004307",755,2017,4,0,"DIRECT",19241107
"A004307",755,2017,7,0,"DIRECT",19241107
"A004307",755,2015,3,0,"STORAGE",19241107
"A004307",755,2020,10,0,"DIRECT",19241107
"A004307",755,2019,5,0,"STORAGE",19241107
"A004307",755,2016,4,0,"STORAGE",19241107
"A004307",755,2020,8,0,"DIRECT",19241107
"A004307",755,2015,12,0,"DIRECT",19241107
"A004307",755,2015,2,0,"STORAGE",19241107
"A004307",755,2020,10,0,"STORAGE",19241107
"A004307",755,2015,7,0,"DIRECT",19241107
"A004307",755,2017,10,0,"STORAGE",19241107
"A004307",755,2016,12,0,"DIRECT",19241107
"A004307",755,2019,12,0,"DIRECT",19241107
"A004307",755,2020,7,0,"STORAGE",19241107
"A004307",755,2020,2,0,"STORAGE",19241107
"A004307",755,2017,6,0,"DIRECT",19241107
"A004307",755,2017,8,0,"STORAGE",19241107
"A004307",755,2017,1,0,"DIRECT",19241107
"A004307",755,2018,2,0,"STORAGE",19241107
"A004307",755,2019,3,0,"DIRECT",19241107
"A004307",755,2019,5,0,"DIRECT",19241107
"A004307",755,2019,11,0,"STORAGE",19241107
"A004307",755,2019,9,0,"DIRECT",19241107
"A004307",755,2016,2,0,"STORAGE",19241107
"A004307",755,2019,12,0,"STORAGE",19241107
"A004307",755,2018,2,0,"DIRECT",19241107
"A004307",755,2019,10,0,"DIRECT",19241107
"A004307",755,2016,6,0,"STORAGE",19241107
"A004307",755,2014,5,0,"DIRECT",19241107
"A004307",755,2016,11,0,"STORAGE",19241107
"A004307",755,2016,5,0,"STORAGE",19241107
"A004307",755,2016,10,0,"DIRECT",19241107
"A004307",755,2017,7,0,"STORAGE",19241107
"A004307",755,2014,6,0,"STORAGE",19241107
"A004307",755,2018,5,0,"STORAGE",19241107
"A004307",755,2017,11,0,"STORAGE",19241107
"A004307",755,2016,3,0,"STORAGE",19241107
"A004307",755,2014,6,0,"DIRECT",19241107
"A004307",755,2017,4,0,"STORAGE",19241107
"A004307",755,2018,7,0,"STORAGE",19241107
"A004307",755,2016,9,0,"STORAGE",19241107
"A004307",755,2016,4,0,"DIRECT",19241107
"A004307",755,2017,8,0,"DIRECT",19241107
"A004307",755,2016,11,0,"DIRECT",19241107
"A004307",755,2016,8,0,"DIRECT",19241107
"A004307",755,2017,2,0,"DIRECT",19241107
"A004307",755,2017,11,0,"DIRECT",19241107
"A004307",755,2016,8,0,"STORAGE",19241107
"A004307",755,2020,4,0,"DIRECT",19241107
"A004307",755,2017,3,0,"STORAGE",19241107
"A004307",755,2020,9,0,"STORAGE",19241107
"A004307",755,2020,9,0,"DIRECT",19241107
"A004307",755,2019,4,0,"STORAGE",19241107
"A004307",755,2019,9,0,"STORAGE",19241107
"A004307",755,2019,10,0,"STORAGE",19241107
"A004307",755,2017,3,0,"DIRECT",19241107
"A004307",755,2016,7,0,"DIRECT",19241107
"A004307",755,2019,7,0,"STORAGE",19241107
"A004307",755,2019,8,0,"DIRECT",19241107
"A004307",755,2019,6,0,"DIRECT",19241107
"A004307",755,2017,5,0,"DIRECT",19241107
"A004307",755,2016,9,0,"DIRECT",19241107
"A004307",755,2019,4,0,"DIRECT",19241107
"A004307",755,2016,5,0,"DIRECT",19241107
"A004307",755,2019,6,0,"STORAGE",19241107
"A004307",755,2017,2,0,"STORAGE",19241107
"A004307",755,2016,2,0,"DIRECT",19241107
"A004307",755,2018,6,0,"DIRECT",19241107
"A004307",755,2017,6,0,"STORAGE",19241107
"A004307",755,2014,7,0,"DIRECT",19241107
"A004307",755,2018,8,0,"DIRECT",19241107
"A004307",755,2014,4,0,"DIRECT",19241107
"A004307",755,2016,1,0,"DIRECT",19241107
